Number,Time (h)
1898,3.9547222222222222
17190,3.973888888888889
17006,3.975
16870,3.977222222222222
4464,3.9794444444444443
45941,3.9794444444444443
17036,3.979722222222222
17111,3.980277777777778
23218,3.9808333333333334
17736,3.9811111111111113
17320,3.9813888888888886
16801,3.9816666666666665
17276,3.982222222222222
4336,3.9830555555555556
4634,3.983611111111111
16743,3.983611111111111
17674,3.983888888888889
4406,3.9866666666666664
17693,4.0055555555555555
34613,4.019166666666667
27042,4.023055555555556
41493,4.023333333333333
27477,4.023888888888889
27479,4.024166666666667
27854,4.025277777777778
28162,4.025555555555556
16811,4.026666666666666
17394,4.028333333333333
34943,4.028611111111111
16926,4.028888888888889
27424,4.029444444444445
27482,4.029444444444445
27428,4.029722222222222
27761,4.029722222222222
27792,4.029722222222222
27762,4.030277777777778
34696,4.030833333333334
26955,4.0311111111111115
26956,4.0313888888888885
26954,4.031666666666666
28258,4.0325
11033,4.033055555555555
27526,4.033055555555555
26962,4.033333333333333
27572,4.033333333333333
5217,4.033611111111111
32003,4.033888888888889
10997,4.0344444444444445
23165,4.0344444444444445
26607,4.0344444444444445
27251,4.034722222222222
1671,4.035277777777778
41524,4.0375
17522,4.0536111111111115
27148,4.054444444444444
16817,4.056666666666667
4318,4.0569444444444445
4402,4.059722222222222
4505,4.0616666666666665
38737,4.0616666666666665
17976,4.064166666666667
17970,4.064444444444445
17801,4.065
17209,4.065277777777778
4571,4.065555555555555
17807,4.066666666666666
17050,4.0725
17571,4.081111111111111
17825,4.0872222222222225
17604,4.094722222222222
35129,4.100555555555555
26070,4.101666666666667
17768,4.102222222222222
17964,4.102222222222222
17887,4.1033333333333335
17635,4.103611111111111
46127,4.105277777777777
16824,4.106388888888889
16754,4.107777777777778
30231,4.108055555555556
19355,4.108333333333333
28163,4.109444444444445
17612,4.110277777777778
27855,4.110277777777778
28261,4.110833333333334
27421,4.111111111111111
27422,4.1113888888888885
27427,4.112222222222222
27487,4.112222222222222
4514,4.1130555555555555
27503,4.114166666666667
27759,4.114166666666667
33881,4.115277777777778
2463,4.116388888888889
26973,4.116388888888889
12505,4.116666666666666
26845,4.116944444444444
26608,4.1177777777777775
26970,4.118055555555555
35240,4.126388888888889
46213,4.130277777777778
17311,4.134722222222222
38776,4.135277777777778
27596,4.136388888888889
16828,4.1369444444444445
32108,4.1369444444444445
4508,4.137777777777778
16702,4.138055555555556
27689,4.1386111111111115
28003,4.138888888888889
27315,4.139166666666666
17632,4.1402777777777775
17779,4.141944444444444
17726,4.143055555555556
31045,4.143055555555556
10961,4.143888888888889
16915,4.144166666666667
27616,4.144722222222223
31086,4.147777777777778
17953,4.148611111111111
28167,4.148611111111111
40974,4.148888888888889
16709,4.149166666666667
28166,4.1497222222222225
34214,4.15
27143,4.151944444444444
35359,4.1525
36513,4.153333333333333
27489,4.153611111111111
6358,4.153888888888889
24822,4.153888888888889
28236,4.154444444444445
27426,4.1575
17056,4.157777777777778
35671,4.158611111111111
26894,4.159166666666667
27484,4.1594444444444445
17959,4.159722222222222
38282,4.160833333333334
10994,4.161111111111111
27618,4.168055555555555
17430,4.168333333333333
33325,4.170833333333333
17303,4.171111111111111
45748,4.174722222222222
27478,4.175
32763,4.175
45377,4.176666666666667
17002,4.176944444444445
17078,4.176944444444445
45919,4.176944444444445
25063,4.177222222222222
28444,4.178333333333334
26724,4.1786111111111115
45299,4.179166666666666
46291,4.179166666666666
17796,4.179722222222222
45306,4.1802777777777775
46164,4.180833333333333
17578,4.1825
16983,4.182777777777778
26702,4.182777777777778
17299,4.183055555555556
17937,4.183055555555556
17652,4.183333333333334
28412,4.183888888888889
33904,4.183888888888889
17911,4.184166666666667
26974,4.185
16996,4.185277777777777
18579,4.185277777777777
52156,4.187777777777778
27789,4.188888888888889
52254,4.189166666666667
27787,4.189444444444445
18040,4.19
52963,4.19
16604,4.190555555555555
17118,4.190555555555555
51477,4.190833333333333
26957,4.191388888888889
4503,4.191666666666666
16835,4.191944444444444
16851,4.191944444444444
27653,4.191944444444444
27914,4.191944444444444
4378,4.192222222222222
4458,4.1925
17258,4.192777777777778
27915,4.194166666666667
52956,4.1947222222222225
52339,4.195
38747,4.195555555555556
16723,4.195833333333334
51764,4.195833333333334
1209,4.196944444444444
17412,4.196944444444444
4566,4.198055555555555
28160,4.198611111111111
29951,4.198888888888889
17405,4.2
4486,4.200277777777778
28158,4.200277777777778
4544,4.200555555555556
1867,4.2011111111111115
4389,4.201388888888889
17859,4.201388888888889
11014,4.201666666666667
1248,4.203888888888889
17009,4.203888888888889
17538,4.203888888888889
10336,4.204166666666667
17444,4.204166666666667
23246,4.205277777777778
35802,4.212777777777778
27492,4.213333333333333
16719,4.215
16946,4.2155555555555555
28169,4.2155555555555555
38593,4.218333333333334
17507,4.219166666666666
27865,4.219444444444444
52466,4.220555555555555
17195,4.220833333333333
27863,4.222777777777778
17055,4.224166666666667
10958,4.224444444444444
16859,4.224444444444444
19820,4.2252777777777775
16813,4.225833333333333
26446,4.225833333333333
32014,4.225833333333333
17588,4.226388888888889
8941,4.226666666666667
